,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Quantity
19,20,66.0,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46.0,Debit Card,Bi-Weekly,4
20,21,21.0,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50.0,Cash,Every 3 Months,3
21,22,31.0,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22.0,Debit Card,Quarterly,1
22,23,56.0,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32.0,Debit Card,Annually,1
23,24,31.0,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40.0,Credit Card,Weekly,2
24,25,18.0,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16.0,Debit Card,Weekly,1
25,26,18.0,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14.0,PayPal,,2
26,27,,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,,Yes,,Yes,Yes,,Credit Card,,1
27,28,56.0,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7.0,Bank Transfer,Every 3 Months,1
28,29,54.0,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41.0,PayPal,Every 3 Months,1
29,30,,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,,Yes,Store Pickup,Yes,Yes,,Credit Card,,3
30,31,,Male,Jewelry,Accessories,5000,North Carolina,L,Black,Winter,,Yes,,Yes,Yes,,Credit Card,,4
31,32,33.0,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45.0,Venmo,,3
32,33,,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,,Yes,,Yes,Yes,,Venmo,,4
33,34,,Male,Pants,Clothing,38,Colorado,L,Green,Summer,,Yes,,Yes,Yes,,Cash,,2
34,35,36.0,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38.0,PayPal,Quarterly,4
35,36,54.0,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48.0,Credit Card,Bi-Weekly,3
36,37,35.0,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44.0,PayPal,Fortnightly,4
37,38,35.0,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10.0,PayPal,Weekly,2
38,39,29.0,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months,2
39,40,70.0,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18.0,Credit Card,Monthly,1
40,41,69.0,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31.0,Debit Card,Quarterly,2
41,42,67.0,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40.0,Venmo,Annually,3
42,43,20.0,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15.0,PayPal,Annually,1
43,44,25.0,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19.0,PayPal,,3
44,45,,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,,Yes,,Yes,Yes,,PayPal,,1
45,46,,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,,Yes,,Yes,Yes,,PayPal,,2
46,47,57.0,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,4
47,48,55.0,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36.0,Cash,Weekly,1
48,49,42.0,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38.0,Cash,Monthly,1
49,50,68.0,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34.0,Debit Card,Bi-Weekly,4
50,51,49.0,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39.0,Debit Card,Bi-Weekly,3
51,52,,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,,Yes,,Yes,Yes,,Credit Card,,3
52,53,,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,,Yes,,Yes,Yes,,Credit Card,,1
53,54,29.0,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35.0,Credit Card,Weekly,4
54,55,47.0,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35.0,Debit Card,Bi-Weekly,2
55,56,40.0,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49.0,Credit Card,Annually,3
56,57,41.0,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46.0,Credit Card,,3
57,58,21.0,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17.0,Debit Card,Fortnightly,1
58,59,,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,,Yes,,Yes,Yes,,Venmo,,3
59,60,63.0,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4.0,Debit Card,Weekly,4
60,61,50.0,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17.0,Cash,Weekly,1
61,62,,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21.0,Credit Card,,3
62,63,30.0,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31.0,Credit Card,Fortnightly,3
63,64,,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,,Yes,,Yes,Yes,,Credit Card,,3
64,65,65.0,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18.0,Debit Card,Fortnightly,3
65,66,65.0,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months,1
66,67,31.0,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3.0,Venmo,Every 3 Months,2
67,68,45.0,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49.0,Debit Card,,4
68,69,57.0,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21.0,Cash,Every 3 Months,4
69,70,,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,,Yes,,Yes,Yes,,Cash,,2
70,71,,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,,Yes,,Yes,Yes,,Debit Card,,3
71,72,36.0,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34.0,Bank Transfer,Annually,1
72,73,18.0,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21.0,Bank Transfer,Every 3 Months,2
73,74,,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,,Yes,,Yes,Yes,,Bank Transfer,,4
74,75,49.0,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3.0,Cash,Monthly,1
75,76,64.0,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21.0,Credit Card,Annually,2
76,77,,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,,Yes,,Yes,Yes,,Venmo,,1
77,78,22.0,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36.0,Debit Card,Fortnightly,4
78,79,50.0,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50.0,Venmo,Fortnightly,1
79,80,38.0,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43.0,Bank Transfer,Every 3 Months,4
80,81,,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,,Yes,Store Pickup,Yes,Yes,,Credit Card,,3
81,82,67.0,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36.0,Credit Card,Every 3 Months,3
82,83,19.0,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21.0,Credit Card,Every 3 Months,1
83,84,36.0,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34.0,Bank Transfer,Weekly,3
84,85,52.0,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42.0,Bank Transfer,Every 3 Months,3
85,86,53.0,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2.0,Debit Card,Bi-Weekly,1
86,87,24.0,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47.0,Cash,Bi-Weekly,4
87,88,52.0,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44.0,Debit Card,Fortnightly,4
88,89,2.0,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35.0,Credit Card,,2
89,90,47.0,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15.0,Cash,Quarterly,1
90,91,25.0,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29.0,Credit Card,Monthly,2
91,92,44.0,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18.0,Credit Card,Every 3 Months,1
92,93,61.0,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13.0,Venmo,Every 3 Months,1
93,94,,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,,Yes,,Yes,Yes,,Credit Card,,3
94,95,58.0,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28.0,Credit Card,Weekly,2
95,96,37.0,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48.0,PayPal,Monthly,2
96,97,32.0,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,43.0,Venmo,,4
97,98,21.0,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37.0,Cash,Annually,1
98,99,20.0,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20.0,Bank Transfer,Annually,4
99,100,7.0,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33.0,Debit Card,Quarterly,3
100,101,62.0,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31.0,Cash,Fortnightly,2
101,102,27.0,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50.0,Credit Card,Bi-Weekly,4
102,103,,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,,Yes,Next Day Air,Yes,Yes,,Credit Card,,4
103,104,54.0,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22.0,Venmo,Bi-Weekly,2
104,105,55.0,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1.0,PayPal,Monthly,4
105,106,69.0,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4.0,Bank Transfer,Annually,3
106,107,64.0,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31.0,Credit Card,Monthly,3
107,108,28.0,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46.0,PayPal,Fortnightly,3
108,109,70.0,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32.0,Bank Transfer,,3
109,110,,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,,Yes,,Yes,Yes,,Bank Transfer,,2
110,111,56.0,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26.0,Venmo,Fortnightly,3
111,112,26.0,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9.0,Credit Card,Annually,2
112,113,37.0,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28.0,PayPal,Bi-Weekly,3
113,114,44.0,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20.0,PayPal,Quarterly,1
114,115,70.0,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9.0,Cash,Weekly,2
115,116,53.0,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48.0,Debit Card,Every 3 Months,4
116,117,55.0,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12.0,Venmo,Annually,4
117,118,50.0,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29.0,Cash,Fortnightly,3
118,119,50.0,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27.0,Cash,Bi-Weekly,2
119,120,38.0,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44.0,Cash,Annually,2
120,121,,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,,Yes,,Yes,Yes,,Bank Transfer,,1
121,122,19.0,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11.0,Cash,Fortnightly,4
122,123,40.0,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44.0,Cash,Fortnightly,4
123,124,57.0,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46.0,Cash,Weekly,4
124,125,,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,,Yes,,Yes,Yes,,PayPal,,1
125,126,49.0,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45.0,Venmo,Every 3 Months,2
126,127,43.0,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48.0,Cash,Every 3 Months,2
127,128,24.0,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26.0,Credit Card,Weekly,1
128,129,20.0,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21.0,Credit Card,Fortnightly,1
129,130,24.0,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49.0,PayPal,Bi-Weekly,1
130,131,44.0,Male,Scarf,Accessories,2000,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13.0,PayPal,Fortnightly,1
131,132,28.0,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46.0,Credit Card,Weekly,1
132,133,30.0,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42.0,PayPal,Weekly,4
133,134,52.0,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25.0,Venmo,Annually,3
134,135,,Male,Hat,Accessories,94,Texas,L,Gray,Fall,,Yes,,Yes,Yes,,Cash,,1
135,136,43.0,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12.0,PayPal,Quarterly,2
136,137,39.0,Male,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4.0,Debit Card,Quarterly,3
137,138,68.0,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38.0,PayPal,Weekly,4
138,139,68.0,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42.0,Bank Transfer,Weekly,2
139,140,,Male,Coat,Outerwear,95,Florida,M,White,Fall,,Yes,,Yes,Yes,,Venmo,,2
140,141,63.0,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50.0,Credit Card,Weekly,2
141,142,56.0,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45.0,PayPal,Weekly,4
142,143,37.0,Male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33.0,Credit Card,Fortnightly,1
143,144,30.0,Male,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25.0,PayPal,Quarterly,2
144,145,,Male,Shoes,Footwear,43,New Jersey,M,Silver,Fall,,Yes,,Yes,Yes,,Cash,,4
145,146,24.0,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44.0,Debit Card,Quarterly,1
146,147,52.0,Male,Skirt,Clothing,30,Colorado,S,Black,Fall,4.0,Yes,Standard,Yes,Yes,21.0,Venmo,Fortnightly,4
147,148,63.0,Male,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31.0,Bank Transfer,Fortnightly,1
148,149,37.0,Male,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47.0,Debit Card,Annually,4
149,150,,Male,Pants,Clothing,76,Delaware,M,White,Summer,,Yes,,Yes,Yes,,PayPal,,1
150,151,123.0,Male,Boots,Footwear,96,California,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17.0,Debit Card,Every 3 Months,4
151,152,28.0,Male,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3.0,Venmo,Annually,1
152,153,,Male,Shirt,Clothing,85,South Carolina,S,Brown,Summer,,Yes,Express,Yes,Yes,,Venmo,,2
153,154,69.0,Male,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22.0,Debit Card,Annually,3
154,155,41.0,Male,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21.0,Venmo,Quarterly,2
155,156,63.0,Male,Socks,Clothing,77,Maine,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21.0,Bank Transfer,Quarterly,2
156,157,,Male,Shorts,Clothing,26,Missouri,M,Lavender,Fall,,Yes,,Yes,Yes,,Debit Card,,3
157,158,,Male,Hat,Accessories,68,Vermont,S,Yellow,Fall,,Yes,,Yes,Yes,,Bank Transfer,,1
158,159,25.0,Male,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50.0,Bank Transfer,Monthly,4
159,160,58.0,Male,Gloves,Accessories,27,New Hampshire,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39.0,Bank Transfer,Every 3 Months,1
160,161,27.0,Male,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34.0,Venmo,Monthly,4
161,162,65.0,Male,Backpack,Accessories,49,North Dakota,M,Olive,Fall,3.0,Yes,Express,Yes,Yes,29.0,Venmo,Fortnightly,3
162,163,54.0,Male,Sunglasses,Accessories,74,California,M,Turquoise,Summer,3.0,Yes,Store Pickup,Yes,Yes,31.0,PayPal,Bi-Weekly,2
163,164,54.0,Male,Skirt,Clothing,67,Virginia,M,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8.0,Debit Card,Weekly,2
164,165,59.0,Male,Handbag,Accessories,65,Delaware,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,5.0,Credit Card,Fortnightly,3
165,166,42.0,Male,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7.0,Cash,Monthly,2
166,167,,Male,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,,Yes,,Yes,Yes,,Cash,,2
167,168,33.0,Male,Gloves,Accessories,27,Arkansas,M,Green,Fall,4.0,Yes,Express,Yes,Yes,14.0,Credit Card,Every 3 Months,3
168,169,34.0,Male,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,3.0,Yes,Express,Yes,Yes,5.0,Cash,Fortnightly,1
169,170,27.0,Male,Jacket,Outerwear,30,Nevada,S,Gold,Summer,3.3,Yes,Standard,Yes,Yes,3.0,PayPal,Every 3 Months,1
170,171,,Male,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,,Yes,,Yes,Yes,,Venmo,,2
171,172,29.0,Male,Shorts,Clothing,35,Virginia,M,Blue,Summer,3.6,Yes,Store Pickup,Yes,Yes,4.0,Credit Card,Weekly,1
172,173,54.0,Male,Jewelry,Accessories,67,Nebraska,M,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,42.0,Credit Card,Bi-Weekly,1
173,174,,Male,Hat,Accessories,46,Hawaii,M,Turquoise,Fall,3.4,Yes,Standard,Yes,Yes,30.0,Cash,,3
174,175,,Male,Shoes,Footwear,35,Vermont,L,Brown,Winter,,Yes,,Yes,Yes,,Venmo,,4
175,176,53.0,Male,Coat,Outerwear,86,Oklahoma,L,Violet,Fall,2.8,Yes,Next Day Air,Yes,Yes,2.0,Bank Transfer,,2
176,177,53.0,Male,Backpack,Accessories,81,New Hampshire,L,Black,Spring,2.7,Yes,Next Day Air,Yes,Yes,30.0,Credit Card,,2
177,178,21.0,Male,Hoodie,Clothing,42,Kansas,L,Magenta,Fall,3.7,Yes,Next Day Air,Yes,Yes,47.0,Bank Transfer,Monthly,1
178,179,,Male,Skirt,Clothing,43,Idaho,L,Lavender,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,21.0,PayPal,,4
179,180,,Male,Boots,Footwear,31,Illinois,M,Violet,Fall,,Yes,,Yes,Yes,,Bank Transfer,,2
180,181,51.0,Male,Sandals,Footwear,81,South Dakota,L,Green,Fall,3.3,Yes,Store Pickup,Yes,Yes,12.0,Debit Card,Fortnightly,4
181,182,32.0,Male,Pants,Clothing,61,Massachusetts,M,Beige,Summer,4.7,Yes,Next Day Air,Yes,Yes,4.0,Bank Transfer,Weekly,2
182,183,38.0,Male,Gloves,Accessories,96,Alabama,XL,Purple,Summer,2.8,Yes,Store Pickup,Yes,Yes,10.0,Debit Card,Annually,2
183,184,,Male,Skirt,Clothing,29,Ohio,XL,Beige,Spring,,Yes,,Yes,Yes,,Credit Card,,4
184,185,,Male,Sneakers,Footwear,33,Hawaii,L,Cyan,Spring,,Yes,,Yes,Yes,,Cash,,4
