gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,study_hours,family_income,commute_time,absences
male,group D,associate's degree,free/reduced,none,66,62,64,7,69665.0,138,8
male,group B,associate's degree,free/reduced,completed,82,78,74,8,36057.0,55,5
female,group E,some college,free/reduced,completed,75,88,85,4,16363.0,178,2
male,group B,master's degree,free/reduced,none,49,53,52,0,24557.0,148,3
male,group C,high school,standard,none,52,53,49,18,58275.0,98,2
female,group E,master's degree,standard,none,81,92,91,9,31126.0,75,5
female,group C,bachelor's degree,standard,completed,96,100,100,11,41901.0,25,3
male,group C,high school,free/reduced,completed,53,51,51,14,32939.0,114,3
female,group B,master's degree,free/reduced,completed,58,76,78,8,35071.0,146,6
female,group B,high school,standard,completed,68,83,78,19,22469.0,108,6
female,group C,some college,free/reduced,completed,67,75,70,16,22152.0,46,6
male,group A,high school,standard,completed,72,73,74,16,25173.0,70,5
male,group E,some high school,standard,none,94,88,78,19,31800.0,153,4
female,group D,some college,standard,none,79,86,81,11,19117.0,39,2
female,group C,associate's degree,standard,none,63,67,70,6,23413.0,132,6
female,group C,bachelor's degree,free/reduced,completed,43,51,54,1,18861.0,148,5
female,group C,master's degree,standard,completed,81,91,87,2,23338.0,131,4
female,group B,high school,free/reduced,completed,46,54,58,16,11784.0,22,4
female,group C,associate's degree,standard,completed,71,77,77,4,81064.0,105,4
female,group B,master's degree,free/reduced,completed,52,70,62,16,15268.0,83,7
female,group D,some high school,standard,completed,97,100,100,16,18385.0,142,4
male,group C,master's degree,free/reduced,completed,62,68,75,16,14623.0,115,5
female,group C,some college,free/reduced,none,46,64,66,1,29967.0,108,4
female,group E,high school,standard,none,50,50,47,1,19970.0,135,3
female,group D,associate's degree,standard,none,65,69,70,4,13604.0,40,6
male,group C,some high school,free/reduced,completed,45,52,49,0,30590.0,111,7
male,group C,associate's degree,free/reduced,completed,65,67,65,0,32723.0,146,8
male,group E,high school,standard,none,80,76,65,18,21302.0,111,3
male,group D,some high school,standard,completed,62,66,68,1,15807.0,102,3
male,group B,some high school,free/reduced,none,48,52,45,20,65876.0,45,6
female,group C,bachelor's degree,standard,none,77,88,87,11,26109.0,155,3
female,group E,associate's degree,standard,none,66,65,69,5,11649.0,67,3
male,group D,some college,standard,completed,76,83,79,3,44668.0,121,3
female,group B,some high school,standard,none,62,64,66,10,14359.0,14,4
male,group D,some college,standard,completed,77,62,62,16,86763.0,164,4
female,group C,master's degree,standard,completed,69,84,85,5,22921.0,128,1
male,group D,associate's degree,standard,none,61,55,52,4,36558.0,110,5
male,group C,some high school,free/reduced,completed,59,69,65,19,7785.0,23,10
male,group E,high school,free/reduced,none,55,56,51,1,11590.0,26,4
female,group B,some college,free/reduced,none,45,53,55,5,42913.0,39,9
female,group B,bachelor's degree,free/reduced,none,78,79,76,10,25820.0,163,2
female,group C,associate's degree,standard,completed,67,84,86,15,61157.0,23,5
female,group D,some college,free/reduced,none,65,81,77,15,28074.0,23,9
male,group C,associate's degree,standard,none,69,77,69,0,23686.0,3,8
female,group B,associate's degree,standard,none,57,69,68,8,51885.0,66,2
male,group C,some college,standard,none,59,41,42,5,36500.0,33,3
male,group D,some high school,standard,completed,74,71,78,15,19968.0,176,3
male,group E,bachelor's degree,standard,none,82,62,62,2,12746.0,180,4
male,group E,high school,standard,completed,81,80,76,19,6729.0,115,2
female,group B,some college,free/reduced,none,74,81,76,3,17697.0,22,6
female,group B,some college,free/reduced,none,58,61,66,18,12171.0,108,2
male,group D,some high school,free/reduced,completed,80,79,79,2,80729.0,68,6
male,group C,some college,free/reduced,none,35,28,27,18,318240.0,94,5
female,group C,high school,free/reduced,none,42,62,60,19,15696.0,180,6
male,group C,associate's degree,free/reduced,completed,60,51,56,6,10295.0,61,4
male,group E,high school,standard,completed,87,91,81,19,19280.0,168,3
male,group B,some high school,standard,completed,84,83,75,8,15799.0,56,3
female,group E,associate's degree,free/reduced,completed,83,86,88,0,52516.0,53,2
female,group C,high school,free/reduced,none,34,42,39,7,23962.0,69,7
male,group B,high school,free/reduced,none,66,77,70,6,21929.0,100,3
male,group B,some high school,standard,completed,61,56,56,17,20592.0,56,7
female,group D,high school,standard,completed,56,68,74,7,32633.0,137,3
male,group B,associate's degree,standard,none,87,85,73,0,17568.0,167,4
female,group C,some high school,free/reduced,none,55,65,62,10,30749.0,134,4
male,group D,some high school,standard,none,86,80,75,17,49364.0,102,6
female,group B,associate's degree,standard,completed,52,66,73,9,27724.0,165,4
female,group E,master's degree,free/reduced,none,45,56,54,2,19441.0,84,2
female,group C,some college,standard,none,72,72,71,6,13674.0,60,5
male,group D,high school,standard,none,57,50,54,15,19196.0,2,5
male,group A,some high school,free/reduced,none,68,72,64,15,29189.0,127,4
female,group C,some college,standard,completed,88,95,94,19,10237.0,178,6
male,group D,some college,standard,none,76,64,66,16,33382.0,85,5
male,group C,associate's degree,standard,none,46,43,42,1,24436.0,46,2
female,group B,bachelor's degree,standard,none,67,86,83,0,20443.0,75,4
male,group E,some high school,standard,none,92,87,78,15,15840.0,37,4
male,group C,bachelor's degree,standard,completed,83,82,84,11,17358.0,163,6
male,group D,associate's degree,standard,none,80,75,77,4,29693.0,168,6
male,group D,bachelor's degree,free/reduced,none,63,66,67,4,20659.0,140,6
female,group D,some high school,standard,completed,64,60,74,8,17144.0,86,5
male,group B,some college,standard,none,54,52,51,8,27841.0,57,6
male,group C,associate's degree,standard,none,84,80,80,2,28399.0,49,4
male,group D,high school,free/reduced,completed,73,68,66,18,11795.0,29,8
female,group E,bachelor's degree,standard,none,80,83,83,15,29312.0,100,6
female,group D,high school,standard,none,56,52,55,15,76945.0,24,2
male,group E,some college,standard,none,59,51,43,2,27856.0,111,5
male,group D,some high school,standard,none,75,74,69,19,9419.0,154,5
male,group C,associate's degree,standard,none,85,76,71,0,24069.0,178,9
male,group E,associate's degree,standard,none,89,76,74,19,8818.0,125,7
female,group B,high school,standard,completed,58,70,68,10,107332.0,122,3
female,group B,high school,standard,none,65,64,62,16,67362.0,46,9
male,group C,high school,standard,none,68,60,53,7,15788.0,117,6
male,group A,some high school,standard,completed,47,49,49,3,7166.0,38,3
female,group D,some college,free/reduced,none,71,83,83,5,14197.0,15,8
female,group B,some high school,standard,completed,60,70,70,7,20121.0,21,4
male,group D,master's degree,standard,none,80,80,72,19,9128.0,53,7
male,group D,high school,standard,none,54,52,52,2,21279.0,148,10
female,group E,some college,standard,none,62,73,70,15,20055.0,15,6
female,group C,associate's degree,free/reduced,none,64,73,68,2,23449.0,58,6
male,group C,associate's degree,standard,completed,78,77,77,17,24707.0,30,3
female,group B,some college,standard,none,70,75,78,13,13591.0,169,4
female,group C,master's degree,free/reduced,completed,65,81,81,17,14376.0,31,2
female,group C,some high school,free/reduced,completed,64,79,77,1,22534.0,161,6
male,group C,some college,standard,completed,79,79,78,2,16067.0,8,6
female,group C,some high school,free/reduced,none,44,50,51,15,34674.0,138,5
female,group E,high school,standard,none,99,93,90,8,22425.0,9,5
male,group D,high school,standard,none,76,73,68,3,55966.0,16,5
male,group D,some high school,free/reduced,none,59,42,41,0,33198.0,67,5
female,group C,bachelor's degree,standard,none,63,75,81,3,38248.0,47,5
female,group D,high school,standard,none,69,72,77,0,23536.0,179,2
female,group D,associate's degree,standard,completed,88,92,95,13,23830.0,110,3
female,group E,some college,free/reduced,none,71,76,70,20,52348.0,152,1
male,group C,bachelor's degree,standard,none,69,63,61,15,18231.0,122,3
male,group C,some college,standard,none,58,49,42,19,28952.0,148,3
female,group D,associate's degree,free/reduced,none,47,53,58,7,19281.0,100,5
female,group D,some college,standard,none,65,70,71,6,19258.0,101,6
male,group B,some college,standard,completed,88,85,76,2,12278.0,64,5
male,group C,bachelor's degree,standard,none,83,78,73,16,15195.0,50,4
female,group C,some high school,standard,completed,85,92,93,0,13848.0,35,5
female,group E,high school,standard,completed,59,63,75,15,29649.0,80,6
female,group C,some high school,free/reduced,none,65,86,80,11,37053.0,126,3
male,group B,bachelor's degree,free/reduced,none,73,56,57,18,21007.0,87,1
male,group D,high school,standard,none,53,52,42,13,24706.0,103,3
male,group D,high school,standard,none,45,48,46,5,20410.0,14,5
female,group D,bachelor's degree,free/reduced,none,73,79,84,5,14685.0,95,5
female,group D,some college,free/reduced,completed,70,78,78,12,33899.0,166,4
female,group B,some high school,standard,none,37,46,46,18,30524.0,122,3
male,group B,associate's degree,standard,completed,81,82,82,7,8550.0,0,5
male,group E,associate's degree,standard,completed,97,82,88,1,19119.0,150,4
female,group B,some high school,standard,none,67,89,82,20,14171.0,121,5
male,group B,bachelor's degree,free/reduced,none,88,75,76,0,18116.0,166,9
male,group E,some high school,standard,completed,77,76,77,14,15753.0,125,3
male,group C,associate's degree,standard,none,76,70,68,0,21521.0,56,6
male,group D,some high school,standard,none,86,73,70,4,18677.0,80,3
male,group C,some high school,standard,completed,63,60,57,15,18480.0,161,8
female,group E,bachelor's degree,standard,none,65,73,75,18,38319.0,168,5
male,group D,high school,free/reduced,completed,78,77,80,3,29103.0,72,5
male,group B,associate's degree,free/reduced,none,67,62,60,2,15492.0,140,3
male,group A,some high school,standard,completed,46,41,43,16,16684.0,69,5
male,group E,associate's degree,standard,completed,71,74,68,16,28167.0,5,2
male,group C,high school,free/reduced,completed,40,46,50,11,28147.0,83,4
male,group D,associate's degree,free/reduced,none,90,87,75,13,16287.0,51,8
male,group A,some college,free/reduced,completed,81,78,81,20,19595.0,2,4
male,group D,some high school,free/reduced,none,56,54,52,5,55459.0,80,6
female,group C,associate's degree,standard,completed,67,84,81,2,16428.0,62,8
male,group B,associate's degree,standard,none,80,76,64,8,57263.0,48,2
female,group C,associate's degree,standard,completed,74,75,83,4,38247.0,75,3
male,group A,some college,standard,none,69,67,69,16,52193.0,111,7
male,group E,some college,standard,completed,99,87,81,13,16082.0,174,4
male,group C,some high school,standard,none,51,52,44,20,20246.0,108,8
female,group B,associate's degree,free/reduced,none,53,71,67,2,17596.0,64,4
female,group D,high school,free/reduced,none,49,57,52,0,38692.0,80,4
female,group B,associate's degree,standard,none,73,76,80,19,16583.0,14,4
male,group B,bachelor's degree,standard,none,66,60,57,20,31749.0,99,6
male,group D,bachelor's degree,standard,completed,67,61,68,0,30920.0,31,7
female,group C,associate's degree,free/reduced,completed,68,67,69,2,21504.0,95,2
female,group C,bachelor's degree,standard,completed,59,64,75,17,42164.0,127,5
male,group C,high school,standard,none,71,66,65,9,23245.0,145,5
female,group D,master's degree,standard,completed,77,82,91,2,33424.0,112,5
male,group C,associate's degree,standard,none,83,72,78,7,17200.0,82,4
male,group B,bachelor's degree,standard,none,63,71,69,13,15341.0,42,6
female,group D,associate's degree,free/reduced,none,56,65,63,17,31748.0,115,4
female,group C,high school,free/reduced,completed,67,79,84,14,27321.0,162,5
female,group E,high school,standard,none,75,86,79,1,24876.0,77,4
female,group C,some college,standard,none,71,81,80,9,18549.0,57,3
female,group C,some high school,free/reduced,none,43,53,53,1,47792.0,32,3
female,group C,high school,free/reduced,none,41,46,43,16,12603.0,13,4
female,group C,some college,standard,none,82,90,94,7,12263.0,161,3
male,group C,some college,standard,none,61,61,62,0,35280.0,131,7
male,group A,some college,free/reduced,none,28,23,19,8,33862.0,58,7
male,group C,associate's degree,standard,completed,82,75,77,10,26288.0,156,6
female,group B,some high school,standard,none,41,55,51,15,19073.0,82,5
male,group C,high school,standard,none,71,60,61,6,28317.0,133,4
male,group C,associate's degree,standard,none,47,37,35,9,52074.0,120,4
male,group E,associate's degree,standard,completed,62,56,53,2,77480.0,176,7
male,group B,associate's degree,standard,none,90,78,81,17,9622.0,167,6
female,group C,bachelor's degree,standard,none,83,93,95,12,17864.0,82,3
female,group B,some college,free/reduced,none,61,68,66,6,17311.0,26,4
male,group D,some high school,standard,completed,76,70,69,3,49675.0,79,4
male,group C,associate's degree,standard,none,49,51,43,12,6370.0,133,4
female,group B,some high school,free/reduced,none,24,38,27,19,28479.0,12,7
female,group D,some high school,free/reduced,completed,35,55,60,0,19372.0,63,6
male,group C,high school,free/reduced,none,58,61,52,7,49964.0,146,7
female,group C,high school,standard,none,61,73,63,13,46654.0,79,3
female,group B,high school,standard,completed,69,76,74,15,26443.0,122,5
male,group D,associate's degree,standard,completed,67,72,67,13,9998.0,42,5
male,group D,some college,standard,none,79,73,67,11,16532.0,88,4
female,group C,high school,standard,none,72,80,75,18,349240.0,147,5
male,group B,some college,standard,none,62,61,57,14,11348.0,94,2
female,group C,bachelor's degree,standard,completed,77,94,95,1,39234.0,171,6
male,group D,high school,free/reduced,none,75,74,66,1,10650.0,150,2
male,group E,associate's degree,standard,none,87,74,76,18,58845.0,1,3
female,group B,bachelor's degree,standard,none,52,65,69,16,58771.0,119,3
male,group E,some college,standard,none,66,57,52,19,18169.0,21,5
female,group C,some college,standard,completed,63,78,80,9,25958.0,114,0
female,group C,associate's degree,standard,none,46,58,57,5,21245.0,56,9
female,group C,some college,standard,none,59,71,70,14,34576.0,71,4
female,group B,bachelor's degree,standard,none,61,72,70,10,41662.0,6,2
male,group A,associate's degree,standard,none,63,61,61,4,25059.0,118,5
female,group C,some college,free/reduced,completed,42,66,69,0,27849.0,113,3
male,group D,some college,free/reduced,none,59,62,61,7,16150.0,15,2
female,group D,some college,standard,none,80,90,89,20,27402.0,82,5
female,group B,high school,standard,none,58,62,59,11,23894.0,378,5
male,group B,some high school,standard,completed,85,84,78,11,13962.0,71,3
female,group C,some college,standard,none,52,58,58,4,21872.0,123,4
female,group D,some high school,free/reduced,none,27,34,32,6,18186.0,112,2
male,group C,some college,standard,none,59,60,58,3,16240.0,11,9
male,group A,bachelor's degree,free/reduced,completed,49,58,60,5,12416.0,125,13
male,group C,high school,standard,completed,69,58,53,12,22726.0,52,4
male,group C,bachelor's degree,free/reduced,none,61,66,61,19,14910.0,74,3
female,group A,some high school,free/reduced,none,44,64,58,14,17404.0,132,9
female,group D,some high school,standard,none,73,84,85,2,37706.0,26,2
male,group E,some college,standard,none,84,77,71,7,30214.0,139,4
female,group C,some college,free/reduced,completed,45,73,70,19,13502.0,144,7
male,group D,some high school,standard,none,74,74,72,15,26264.0,133,3
female,group D,some college,standard,completed,82,97,96,12,23538.0,96,4
female,group D,bachelor's degree,standard,none,59,70,73,17,51578.0,4,7
male,group E,associate's degree,free/reduced,none,46,43,41,9,43984.0,56,3
female,group D,some high school,standard,none,80,90,82,18,10230.0,155,8
female,group D,master's degree,free/reduced,completed,85,95,100,16,33879.0,77,6
female,group A,some high school,standard,none,71,83,77,18,41465.0,68,6
male,group A,bachelor's degree,standard,none,66,64,62,4,29135.0,117,8
female,group B,associate's degree,standard,none,80,86,83,20,18626.0,119,3
male,group C,associate's degree,standard,completed,87,100,95,8,73622.0,58,6
male,group C,master's degree,free/reduced,none,79,81,71,11,30507.0,32,5
female,group E,some high school,free/reduced,none,38,49,45,20,59176.0,61,8
female,group A,some high school,free/reduced,none,38,43,43,0,43293.0,49,10
female,group E,some college,standard,none,67,76,75,0,27780.0,111,2
female,group E,bachelor's degree,standard,none,64,73,70,14,16484.0,18,4
female,group C,associate's degree,free/reduced,none,57,78,67,1,21763.0,122,6
female,group D,high school,standard,none,62,64,64,15,19713.0,46,4
male,group D,master's degree,standard,none,73,70,75,7,12001.0,166,6
male,group E,some high school,free/reduced,completed,73,67,59,12,30490.0,32,4
female,group D,some college,standard,none,77,68,77,20,48227.0,140,7
male,group E,some college,standard,none,76,67,67,0,18974.0,83,5
male,group C,associate's degree,standard,completed,57,54,56,15,64980.0,134,1
female,group C,some high school,standard,completed,65,74,77,6,10109.0,78,4
male,group A,high school,free/reduced,none,48,45,41,4,37316.0,13,12
female,group B,high school,free/reduced,none,50,67,63,2,50806.0,146,10
female,group C,associate's degree,standard,none,85,89,95,11,19890.0,127,4
male,group B,some high school,standard,none,74,63,57,15,20070.0,53,3
male,group D,some high school,standard,none,60,59,54,18,742000.0,147,6
female,group C,some high school,standard,completed,59,54,67,4,28367.0,28,6
male,group A,some college,standard,none,53,43,43,13,8114.0,23,5
female,group A,some college,free/reduced,none,49,65,55,4,14448.0,81,2
female,group D,high school,standard,completed,88,99,100,14,21878.0,62,9
female,group C,high school,standard,none,54,59,62,16,11105.0,104,6
female,group C,some high school,standard,none,63,73,68,13,17377.0,56,4
male,group B,associate's degree,standard,completed,65,65,63,19,11245.0,135,6
female,group B,associate's degree,standard,none,82,80,77,4,18305.0,61,8
female,group D,high school,free/reduced,completed,52,57,56,11,18614.0,156,2
male,group D,associate's degree,standard,completed,87,84,85,15,26262.0,16,2
female,group D,master's degree,standard,completed,70,71,74,15,21039.0,65,6
male,group E,some college,standard,completed,84,83,78,20,28322.0,5,6
male,group D,associate's degree,standard,none,71,66,60,6,26683.0,57,4
male,group B,some high school,standard,completed,63,67,67,3,36889.0,68,9
female,group C,bachelor's degree,free/reduced,completed,51,72,79,0,34095.0,155,3
male,group E,high school,standard,none,84,73,69,4,32340.0,61,5
male,group C,bachelor's degree,standard,completed,71,74,68,9,104030.0,168,8
male,group C,associate's degree,standard,none,74,73,67,4,26205.0,81,5
male,group D,some college,standard,none,68,59,62,3,80562.0,168,5
male,group E,high school,free/reduced,completed,57,56,54,1,27068.0,176,7
female,group C,associate's degree,free/reduced,completed,82,93,93,19,21133.0,176,4
